Ano;Mês;Empresa;CNPJ;Porte da Prestadora;UF;Município;Código IBGE Município;Tecnologia;Acessos
2019;3;VIVO;02558157000162;Grande Porte;MG;Juiz de Fora;3136702;DTH;4806
2019;3;VIVO;02558157000162;Grande Porte;PB;João Pessoa;2507507;DTH;7082
2019;3;VIVO;02558157000162;Grande Porte;SP;Lourdes;3527256;DTH;1
2019;3;VIVO;02558157000162;Grande Porte;SP;Presidente Venceslau;3541505;DTH;83
2019;3;VIVO;02558157000162;Grande Porte;SP;Torrinha;3554706;DTH;62
2019;3;VIVO;02558157000162;Grande Porte;AL;Maceió;2704302;DTH;7426
2019;3;VIVO;02558157000162;Grande Porte;SP;Mombuca;3530904;DTH;20
2019;3;VIVO;02558157000162;Grande Porte;SP;Amparo;3501905;DTH;718
2019;3;VIVO;02558157000162;Grande Porte;SP;Bady Bassitt;3504602;DTH;110
2019;3;VIVO;02558157000162;Grande Porte;SP;Quintana;3542008;DTH;24
2019;3;VIVO;02558157000162;Grande Porte;SP;Cachoeira Paulista;3508603;DTH;150
2019;3;VIVO;02558157000162;Grande Porte;SP;Vargem Grande Paulista;3556453;DTH;441
2019;3;VIVO;02558157000162;Grande Porte;SP;Jardinópolis;3525102;DTH;15
2019;3;VIVO;02558157000162;Grande Porte;SP;Descalvado;3513702;DTH;288
2019;3;VIVO;02558157000162;Grande Porte;SP;Barrinha;3505609;DTH;181
2019;3;VIVO;02558157000162;Grande Porte;RS;Sapucaia do Sul;4320008;DTH;987
2019;3;VIVO;02558157000162;Grande Porte;SP;Tatuí;3554003;DTH;639
2019;3;VIVO;02558157000162;Grande Porte;SP;Itaquaquecetuba;3523107;DTH;2638
2019;3;VIVO;02558157000162;Grande Porte;SP;Júlio Mesquita;3525805;DTH;17
2019;3;VIVO;02558157000162;Grande Porte;SP;Buri;3508009;DTH;67
2019;3;VIVO;02558157000162;Grande Porte;MG;Sete Lagoas;3167202;DTH;1188
2019;3;VIVO;02558157000162;Grande Porte;SP;Itobi;3523800;DTH;21
2019;3;VIVO;02558157000162;Grande Porte;SP;Cabrália Paulista;3508306;DTH;10
2019;3;VIVO;02558157000162;Grande Porte;SP;Jacupiranga;3524600;DTH;92
2019;3;VIVO;02558157000162;Grande Porte;GO;Vicentinópolis;5222054;DTH;2
2019;3;VIVO;02558157000162;Grande Porte;SP;Mairinque;3528403;DTH;371
2019;3;VIVO;02558157000162;Grande Porte;SP;Praia Grande;3541000;DTH;3113
2019;3;VIVO;02558157000162;Grande Porte;SP;Mirandópolis;3530102;DTH;138
2019;3;VIVO;02558157000162;Grande Porte;PE;Gravatá;2606408;DTH;100
2019;3;VIVO;02558157000162;Grande Porte;SP;Pereira Barreto;3537404;DTH;110
2019;3;VIVO;02558157000162;Grande Porte;SP;Angatuba;3502200;DTH;69
2019;3;VIVO;02558157000162;Grande Porte;BA;Simões Filho;2930709;DTH;194
2019;3;VIVO;02558157000162;Grande Porte;CE;Caucaia;2303709;DTH;752
2019;3;VIVO;02558157000162;Grande Porte;SP;Arco-Íris;3503356;DTH;4
2019;3;VIVO;02558157000162;Grande Porte;SP;Alvinlândia;3501509;DTH;11
2019;3;VIVO;02558157000162;Grande Porte;SP;Mogi das Cruzes;3530607;DTH;4646
2019;3;VIVO;02558157000162;Grande Porte;SP;Rifaina;3543600;DTH;11
2019;3;VIVO;02558157000162;Grande Porte;SP;Taquaral;3553658;DTH;4
2019;3;VIVO;02558157000162;Grande Porte;SP;Juquiá;3526100;DTH;122
2019;3;VIVO;02558157000162;Grande Porte;SP;Anhembi;3502309;DTH;20
2019;3;VIVO;02558157000162;Grande Porte;SP;Ribeirão Pires;3543303;DTH;2041
2019;3;VIVO;02558157000162;Grande Porte;SP;São Simão;3550902;DTH;133
2019;3;VIVO;02558157000162;Grande Porte;SP;Timburi;3554607;DTH;16
2019;3;VIVO;02558157000162;Grande Porte;SP;Sorocaba;3552205;DTH;8824
2019;3;VIVO;02558157000162;Grande Porte;SP;Jaú;3525300;DTH;422
2019;3;VIVO;02558157000162;Grande Porte;SP;Parapuã;3536000;DTH;31
2019;3;VIVO;02558157000162;Grande Porte;SP;Américo Brasiliense;3501707;DTH;204
2019;3;VIVO;02558157000162;Grande Porte;SP;Fernandópolis;3515509;DTH;230
2019;3;VIVO;02558157000162;Grande Porte;SP;Cristais Paulista;3513207;DTH;24
2019;3;VIVO;02558157000162;Grande Porte;SP;Juquitiba;3526209;DTH;183
2019;3;VIVO;02558157000162;Grande Porte;SP;Morro Agudo;3531902;DTH;14
2019;3;VIVO;02558157000162;Grande Porte;SP;Ipuã;3521309;DTH;7
2019;3;VIVO;02558157000162;Grande Porte;MT;Rondonópolis;5107602;DTH;1
2019;3;VIVO;02558157000162;Grande Porte;SP;Cedral;3511300;DTH;41
2019;3;VIVO;02558157000162;Grande Porte;SP;Itapirapuã Paulista;3522653;DTH;4
2019;3;VIVO;02558157000162;Grande Porte;RS;Cachoeira do Sul;4303004;DTH;201
2019;3;VIVO;02558157000162;Grande Porte;PR;Araucária;4101804;DTH;2093
2019;3;VIVO;02558157000162;Grande Porte;PR;Cianorte;4105508;DTH;458
2019;3;VIVO;02558157000162;Grande Porte;SP;Bom Jesus dos Perdões;3507100;DTH;56
2019;3;VIVO;02558157000162;Grande Porte;RS;Viamão;4323002;DTH;2895
2019;3;VIVO;02558157000162;Grande Porte;SP;Pedreira;3537107;DTH;301
2019;3;VIVO;02558157000162;Grande Porte;SP;Viradouro;3556800;DTH;64
2019;3;VIVO;02558157000162;Grande Porte;SC;Palhoça;4211900;DTH;1869
2019;3;VIVO;02558157000162;Grande Porte;SP;Araçatuba;3502804;DTH;553
2019;3;VIVO;02558157000162;Grande Porte;SP;Paulo de Faria;3536604;DTH;16
2019;3;VIVO;02558157000162;Grande Porte;SP;São Joaquim da Barra;3549409;DTH;19
2019;3;VIVO;02558157000162;Grande Porte;SP;Guará;3517703;DTH;13
2019;3;VIVO;02558157000162;Grande Porte;SP;Salmourão;3545100;DTH;7
2019;3;VIVO;02558157000162;Grande Porte;SP;Jaguariúna;3524709;DTH;431
2019;3;VIVO;02558157000162;Grande Porte;SP;Cruzália;3513306;DTH;12
2019;3;VIVO;02558157000162;Grande Porte;SP;Serra Azul;3551405;DTH;43
2019;3;VIVO;02558157000162;Grande Porte;SP;Gavião Peixoto;3516853;DTH;10
2019;3;VIVO;02558157000162;Grande Porte;SP;Dourado;3514304;DTH;85
2019;3;VIVO;02558157000162;Grande Porte;SP;Rio Claro;3543907;DTH;1407
2019;3;VIVO;02558157000162;Grande Porte;SP;Quatá;3541703;DTH;54
2019;3;VIVO;02558157000162;Grande Porte;SP;Itararé;3523206;DTH;133
2019;3;VIVO;02558157000162;Grande Porte;SP;São Vicente;3551009;DTH;5342
2019;3;VIVO;02558157000162;Grande Porte;SP;Florínia;3516101;DTH;8
2019;3;VIVO;02558157000162;Grande Porte;SC;São José;4216602;DTH;3908
2019;3;VIVO;02558157000162;Grande Porte;SP;Flora Rica;3515806;DTH;3
2019;3;VIVO;02558157000162;Grande Porte;SP;Iperó;3521002;DTH;116
2019;3;VIVO;02558157000162;Grande Porte;SP;Guapiaçu;3517505;DTH;78
2019;3;VIVO;02558157000162;Grande Porte;SP;Santa Cruz da Conceição;3546207;DTH;18
2019;3;VIVO;02558157000162;Grande Porte;SP;São João da Boa Vista;3549102;DTH;704
2019;3;VIVO;02558157000162;Grande Porte;SP;Registro;3542602;DTH;406
2019;3;VIVO;02558157000162;Grande Porte;PR;Campo Largo;4104204;DTH;1391
2019;3;VIVO;02558157000162;Grande Porte;SP;Penápolis;3537305;DTH;264
