Ano;Mês;Empresa;CNPJ;Porte da Prestadora;UF;Município;Código IBGE Município;Tecnologia;Acessos
2019;2;CORREA SAT TELECOMUNICAÇÕES LTDA - ME;12313783000142;Pequeno Porte;RJ;Cachoeiras de Macacu;3300803;TVC;850
2019;2;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Passos;3147907;TVC;282
2019;2;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Montes Claros;3143302;TVC;14792
2019;2;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Divinópolis;3122306;TVC;4681
2019;2;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Itajubá;3132404;TVC;1981
2019;2;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Itaúna;3133808;TVC;656
2019;2;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Unaí;3170404;TVC;930
2019;2;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Lavras;3138203;TVC;1281
2019;2;RBC - REDE BRASILEIRA DE COMUNICAÇÃO LTDA.;01766744000184;Pequeno Porte;MG;Pouso Alegre;3152501;TVC;376
2019;2;RF TV CABO MIX LTDA;09107164000197;Pequeno Porte;SP;Itatiba;3523404;TVC;335
2019;2;SISTEMA OESTE DE COMUNICAÇÃO LTDA;00713377000198;Pequeno Porte;RN;Mossoró;2408003;TVC;13310
2019;2;RF TV A CABO LTDA;07812807000178;Pequeno Porte;SP;Avaré;3504503;TVC;512
2019;2;BRASREDE TELECOMUNICACOES LTDA - EPP;05896206000165;Pequeno Porte;RS;Arroio do Meio;4301008;TVC;606
2019;2;J E J TV POR ASSINATURA LTDA - ME;03425449000190;Pequeno Porte;ES;Nova Venécia;3203908;MMDS;255
2019;2;ITNET LTDA - ME;04690098000107;Pequeno Porte;SE;Itabaiana;2802908;FTTH;15
2019;2;LINCA TELECOMUNICACOES LTDA;03376788000123;Pequeno Porte;PR;Foz do Iguaçu;4108304;TVC;1148
2019;2;FONELIGHT TELECOMUNICACOES S.A.;02089242000129;Pequeno Porte;MG;Varginha;3170701;DTH;869
2019;2;ALEGRA TELECOMUNICACOES DO BRASIL LTDA;10716128000100;Pequeno Porte;SP;São João da Boa Vista;3549102;TVC;2499
2019;2;GIGA TV EIRELI - EPP;07070704000180;Pequeno Porte;SP;Ourinhos;3534708;TVC;2831
2019;2;GABISAT SERVICOS DE TV A CABO E TELECOMUNICACOES EM GERAL LTDA ME;07025721000103;Pequeno Porte;RJ;Cabo Frio;3300704;TVC;2305
2019;2;PONTAL CABO EIRELI;03697110000142;Pequeno Porte;SP;Penápolis;3537305;TVC;1583
2019;2;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Lages;4209300;FTTH;988
2019;2;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Rio do Sul;4214805;FTTH;471
2019;2;UNIFIQUE TELECOMUNICACOES LTDA;02255187000108;Pequeno Porte;SC;Joaçaba;4209003;FTTH;401
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Acopiara;2300309;FTTH;185
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Tauá;2313302;FTTH;1154
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Morada Nova;2308708;FTTH;1005
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Itapajé;2306306;FTTH;4
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;PB;Campina Grande;2504009;FTTH;3844
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Milagres;2308302;FTTH;404
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Lavras da Mangabeira;2307502;FTTH;82
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Patu;2409308;FTTH;3
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;São Benedito;2312304;FTTH;501
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;São Miguel;2412500;FTTH;2189
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Pau dos Ferros;2409407;FTTH;2698
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Quixeramobim;2311405;FTTH;1622
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Missão Velha;2308401;FTTH;173
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Caicó;2402006;FTTH;2231
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Orós;2309508;FTTH;11
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Severiano Melo;2413607;FTTH;2
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Tianguá;2313401;FTTH;2272
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Taboleiro Grande;2413805;FTTH;1
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Marcelino Vieira;2407302;FTTH;3
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Sobral;2312908;FTTH;10884
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Acaraú;2300200;FTTH;709
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Ibiapina;2305308;FTTH;125
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Cariús;2303303;FTTH;3
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Iguatu;2305506;FTTH;7195
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Coronel João Pessoa;2402907;FTTH;6
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Várzea Alegre;2314003;FTTH;376
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Major Sales;2407252;FTTH;16
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Rodolfo Fernandes;2411007;FTTH;2
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Alexandria;2400505;FTTH;1
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Apodi;2401008;FTTH;2
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;PB;Joca Claudino;2513653;FTTH;1
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Antônio Martins;2400901;FTTH;2
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;PB;Catolé do Rocha;2504306;FTTH;12
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Serrinha dos Pintos;2413557;FTTH;2
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Crateús;2304103;FTTH;1523
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Viçosa do Ceará;2314102;FTTH;134
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Jaguaribara;2306801;FTTH;4
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Ipu;2305803;FTTH;3
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Barbalha;2301901;FTTH;1348
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Alto Santo;2300705;FTTH;4
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Milhã;2308351;FTTH;1
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Pilões;2410009;FTTH;1
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;PB;Santa Luzia;2513406;FTTH;2
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Pereiro;2310803;FTTH;215
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;PB;Brejo do Cruz;2502805;FTTH;4
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;PB;Sousa;2516201;FTTH;387
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Senador Pompeu;2312700;FTTH;6
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Tarrafas;2313252;FTTH;1
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Ipaumirim;2305704;FTTH;3
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;PB;Patos;2510808;FTTH;3052
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Luís Gomes;2407005;FTTH;671
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;PB;Cajazeiras;2503704;FTTH;1
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Quixeré;2311504;FTTH;82
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Francisco Dantas;2403905;FTTH;10
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Limoeiro do Norte;2307601;FTTH;5417
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Ibicuitinga;2305332;FTTH;1
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Icó;2305407;FTTH;1067
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Pedra Branca;2310506;FTTH;2
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;São Francisco do Oeste;2411908;FTTH;1
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Rafael Fernandes;2410504;FTTH;53
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Portalegre;2410207;FTTH;5
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Umarizal;2414506;FTTH;12
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Jaguaribe;2306900;FTTH;474
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Brejo Santo;2302503;FTTH;682
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Russas;2311801;FTTH;1139
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Banabuiú;2301851;FTTH;1
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Lucrécia;2406908;FTTH;1
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Almino Afonso;2400604;FTTH;2
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Ererê;2304277;FTTH;2
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Mossoró;2408003;FTTH;14201
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Ibaretama;2305266;FTTH;2
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Crato;2304202;FTTH;3147
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Pacajus;2309607;FTTH;154
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Ubajara;2313609;FTTH;535
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Iracema;2306009;FTTH;2
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Cedro;2303808;FTTH;60
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Quixelô;2311355;FTTH;6
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Jucás;2307403;FTTH;6
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Mombaça;2308500;FTTH;163
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;RN;Açu;2400208;FTTH;2744
2019;2;BRISANET SERVICOS DE TELECOMUNICACOES LTDA;04601397000128;Pequeno Porte;CE;Juazeiro do Norte;2307304;FTTH;15091
