,"car","area","uf","mun","modulo_fiscal","tipo_imovel","situacao","condicao",,,
,"MG-3109006-BC728967D220436EA4CD399E8EE3C10A","5.1166","MG","Brumadinho","0.2558","IRU","AT","Aguardando","analise",,
,"MG-3109006-5A42CD16D58246A4B132EC3796374114","2.0983","MG","Brumadinho","0.1049","IRU","AT","Aguardando","analise",,
,"MG-3109006-6500AF7E0FBE475A8E80C9A8E699DA87","1.8170","MG","Brumadinho","0.0908","IRU","AT","Aguardando","analise",,
,"MG-3109006-9D3602199BD247F08DF3CCEA3091553E","42.8023","MG","Brumadinho","2.1401","IRU","AT","Aguardando","analise",,
,"MG-3109006-BC43831F77DA43709A8EACE4B4D02228","28.3869","MG","Brumadinho","1.4193","IRU","AT","Aguardando","analise",,
,"MG-3109006-3614FDA613F74C0CAF1768A322E2F83E","7.9547","MG","Brumadinho","0.3977","IRU","AT","Aguardando","analise",,
,"MG-3109006-705885A129E348E69EC8E4BA44E9005B","2.0000","MG","Brumadinho","0.1000","IRU","AT","Aguardando","analise",,
,"MG-3109006-9C7796FA88C741CDB9133ABECE96C5E7","12.3577","MG","Brumadinho","0.6179","IRU","AT","Aguardando","analise",,
,"MG-3109006-3243AC39360B45728EFEC8DA2BBF8C9E","0.5012","MG","Brumadinho","0.0251","IRU","AT","Aguardando","analise",,
,"MG-3109006-CD605223E73941DA8102F3DF935A2493","8.0354","MG","Brumadinho","0.4018","IRU","AT","Aguardando","analise",,
,"MG-3109006-800B353FE9FB402FB0F1B73E76359929","7.2211","MG","Brumadinho","0.3611","IRU","AT","Aguardando","analise",,
,"MG-3109006-94E89B4087064514B46A7ADD09888B97","0.4791","MG","Brumadinho","0.0240","IRU","AT","Aguardando","analise",,
,"MG-3109006-88FFAFB5AA8B443AB8E0647EE16CF163","0.4425","MG","Brumadinho","0.0221","IRU","AT","Aguardando","analise",,
,"MG-3109006-3A83946D4BC941D69A9B76836BEB7725","30.1006","MG","Brumadinho","1.5050","IRU","AT","Aguardando","analise",,
,"MG-3109006-93A2A102F5B749AE8797D4CBC693982C","15.2135","MG","Brumadinho","0.7607","IRU","AT","Aguardando","analise",,
,"MG-3109006-759D764C3ADB4B078009D322B41B4D39","1.9931","MG","Brumadinho","0.0997","IRU","AT","Aguardando","analise",,
,"MG-3109006-F160194F0FAF4B0E89F8E6A5C9A00774","11.4335","MG","Brumadinho","0.5717","IRU","AT","Aguardando","análise",,
,"MG-3109006-8AEB8935917545ECAFACC909A97D8D1B","42.3877","MG","Brumadinho","2.1194","IRU","AT","Aguardando","analise",,
,"MG-3109006-A44B6491436D43A6A78F091E33B1C1EC","5.7019","MG","Brumadinho","0.2851","IRU","AT","Aguardando","analise",,
,"MG-3109006-427F115B1C8D493190546D73C3BFCD0F","3.2981","MG","Brumadinho","0.1649","IRU","AT","Aguardando","analise",,
,"MG-3109006-104AC0DAFA4843179F8D27F83A7D3E01","2.0460","MG","Brumadinho","0.1023","IRU","AT","Aguardando","analise",,
,"MG-3109006-C3EE1FE4305E4318B29A12721C8C1AEA","15.7999","MG","Brumadinho","0.7900","IRU","AT","Aguardando","analise",,
,"MG-3109006-D82125626DC24812AAD0DBBD43F6C23B","5.0557","MG","Brumadinho","0.2528","IRU","AT","Aguardando","analise",,
,"MG-3109006-9E91B0B6960E456CA522F5A43B809B80","1.0005","MG","Brumadinho","0.0500","IRU","AT","Aguardando","analise",,
,"MG-3109006-733BA8E2C6AE456297FE2EEF3E809DDE","0.3680","MG","Brumadinho","0.0184","IRU","AT","Aguardando","analise",,
,"MG-3109006-25CC4775779F439DA8F0E16BC55DBA50","65.6582","MG","Brumadinho","4.2204","IRU","AT","Aguardando","analise",,
,"MG-3109006-2375B7349C494F119B35D65CFAF61861","18.1497","MG","Brumadinho","0.9075","IRU","AT","Aguardando","analise",,
,"MG-3109006-7484B3416F48406F843FE72BA921D874","0.3224","MG","Brumadinho","0.0161","IRU","AT","Aguardando","analise",,
,"MG-3109006-B4997F8CA71746C49340CCDBD2436F71","0.8515","MG","Brumadinho","0.0426","IRU","AT","Aguardando","analise",,
,"MG-3109006-E5F865ED72204CC7B6BC5DEA45D25500","2.0419","MG","Brumadinho","0.1021","IRU","AT","Aguardando","analise",,
,"MG-3109006-AFBAA40E12024BB19F0DD46809B95FBF","0.1002","MG","Brumadinho","0.0050","IRU","AT","Aguardando","analise",,
,"MG-3109006-B876BB8E4EC2407BA424B1873A50A199","0.1006","MG","Brumadinho","0.0050","IRU","AT","Aguardando","analise",,
,"MG-3109006-BC398AD1D5974B408383571BB9850A54","1.4864","MG","Brumadinho","0.0743","IRU","AT","Aguardando","analise",,
,"MG-3109006-02F75C3B35A742EDA9A337B0217EF8F3","0.8915","MG","Brumadinho","1.1000","IRU","AT","Aguardando","análise",,
,"MG-3109006-3140636C40484465AF86C00666360B15","15.1246","MG","Brumadinho","0.7562","IRU","AT","Aguardando","analise",,
,"MG-3109006-C6875CB6BABE4505A69CA99E1A9576D9","9.3119","MG","Brumadinho","0.4656","IRU","AT","Aguardando","análise",,
,"MG-3109006-9E3E0F554B52401391E0DDC567CF4978","44.2343","MG","Brumadinho","2.2117","IRU","AT","Aguardando","analise",,
,"MG-3109006-906010F43F6E441EA60CAC8FEE8FA145","2.4679","MG","Brumadinho","0.1234","IRU","AT","Aguardando","analise",,
,"MG-3109006-CD7D094A0E9D472F9F883B3D71EE0F27","0.5845","MG","Brumadinho","0.0292","IRU","AT","Aguardando","analise",,
,"MG-3109006-D7D1517C2EB5451EA080BEBD2360741B","1.4892","MG","Brumadinho","0.0745","IRU","AT","Aguardando","analise",,
,"MG-3109006-8D566E6EFFCF494CAC47DBF8616BB768","100.8349","MG","Brumadinho","5.0417","IRU","AT","Aguardando","analise",,
,"MG-3109006-725BFAF4F07C4D559106D932938C1FCB","5.8609","MG","Brumadinho","0.2930","IRU","AT","Aguardando","analise",,
,"MG-3109006-F6C854030F8947AE8ED8D98C10550949","23.7532","MG","Brumadinho","1.1877","IRU","AT","Aguardando","analise",,
,"MG-3109006-6718314CFB6E4B71979D38A0B907F1F1","160.9158","MG","Brumadinho","8.0458","IRU","AT","Aguardando","analise",,
,"MG-3109006-5DD6FC81AC1B4C58A16BBFFE0682EC85","19.1086","MG","Brumadinho","0.9554","IRU","AT","Aguardando","analise",,
,"MG-3109006-88B5F1412D634698B342D5E99A8DD6DC","13.3553","MG","Brumadinho","0.6678","IRU","AT","Aguardando","análise",,
,"MG-3109006-1B2518E104664017BD4CF3DC7CDCB71D","5.8602","MG","Brumadinho","0.2930","IRU","AT","Aguardando","analise",,
,"MG-3109006-ACAA8D44D5E24F128C154FECF4B84D1F","5.0358","MG","Brumadinho","0.2518","IRU","AT","Aguardando","analise",,
,"MG-3109006-493E6FB1F84641678F2E5AC9AD5072EE","52.6397","MG","Brumadinho","2.6320","IRU","AT","Aguardando","analise",,
,"MG-3109006-0F646EB7BC784DC3A1804EDE13481B6A","12.4790","MG","Brumadinho","0.6240","IRU","AT","Aguardando","analise",,
,"MG-3109006-63C29FCCEE8C4600AD2C6C8CC80D25B4","19.4177","MG","Brumadinho","0.9709","IRU","AT","Aguardando","analise",,
,"MG-3109006-29EC9F0EFCA7407FAB24F3B308F4139E","13.8130","MG","Brumadinho","0.6906","IRU","AT","Aguardando","analise",,
,"MG-3109006-3450EDF66FFC45EE89ACB684CB858F34","2.1350","MG","Brumadinho","0.1068","IRU","AT","Aguardando","analise",,
,"MG-3109006-5C516A8F94DC43769B2BD2FD4C4D9324","2.4980","MG","Brumadinho","0.1249","IRU","AT","Aguardando","analise",,
,"MG-3109006-BC3C40B247A04E74AA2D9DDA9E2DDC72","122.1256","MG","Brumadinho","6.1063","IRU","AT","Aguardando","analise",,
,"MG-3109006-E9FB622996754A28805AC6E40C01CB7C","4.3346","MG","Brumadinho","0.2167","IRU","AT","Aguardando","analise",,
,"MG-3109006-C3BFDA0978894529A83ECF2DD8887FBA","32.0400","MG","Brumadinho","1.6000","IRU","AT","Aguardando","análise",,
,"MG-3109006-7F9FC51152EA4E16AFA2E580F7D77055","102.9178","MG","Brumadinho","5.1459","IRU","AT","Aguardando","analise",,
,"MG-3109006-CAC69126FB984310A4BF23D4E0C56F18","23.4712","MG","Brumadinho","1.1736","IRU","AT","Aguardando","analise",,
,"MG-3109006-2B4C86C749E748418EE9C13840E92D05","4.0492","MG","Brumadinho","0.2025","IRU","AT","Aguardando","analise",,
,"MG-3109006-C108362021C444E78D0402DA7B26E078","1.5516","MG","Brumadinho","0.0776","IRU","AT","Aguardando","analise",,
,"MG-3109006-A3F30A32F6254B7D9610BB29D1C8D0D8","0.7836","MG","Brumadinho","0.0392","IRU","AT","Aguardando","analise",,
,"MG-3109006-AF7AF1E53B2E4D6D9A67BE7E17E79F07","27.1138","MG","Brumadinho","1.3557","IRU","AT","Aguardando","analise",,
,"MG-3109006-B9472AFD03614D0A9CEAB6E570A11D5B","25.2243","MG","Brumadinho","1.2612","IRU","AT","Aguardando","analise",,
,"MG-3109006-CCB1E10B5498435FB8EDC2314BC03604","2.4935","MG","Brumadinho","0.1247","IRU","AT","Aguardando","análise",,
,"MG-3109006-77065131C84643939E5F36CBBD787C90","2.5122","MG","Brumadinho","0.1256","IRU","AT","Aguardando","analise",,
,"MG-3109006-D8CF957EC0164E8CAC099D807C5B007E","1.6995","MG","Brumadinho","0.0850","IRU","AT","Aguardando","analise",,
,"MG-3109006-967DC645053A4FD9A0508CBFB8BC3AB9","5.3240","MG","Brumadinho","0.2662","IRU","AT","Aguardando","analise",,
,"MG-3109006-1BC8EB42C6974A91BF129AA23587F718","2.3612","MG","Brumadinho","0.1181","IRU","AT","Aguardando","analise",,
,"MG-3109006-05C23554D62E44A9B2D3F57AA5900BA0","2.1184","MG","Brumadinho","0.1059","IRU","AT","Aguardando","analise",,
,"MG-3109006-2FC480FD55C04FDE9FD340DCC272C5E9","39.9749","MG","Brumadinho","1.9987","IRU","AT","Aguardando","analise",,
,"MG-3109006-3F3ED557F715475998ECD2E44C558DA5","2.1304","MG","Brumadinho","0.1065","IRU","AT","Aguardando","analise",,
,"MG-3109006-4C7697D76AB4423B9B1E784B4F4AD1FA","65.5933","MG","Brumadinho","3.2797","IRU","AT","Aguardando","analise",,
,"MG-3109006-2C56024FC8DB44A5A4AFC383C3CB863A","53.9443","MG","Brumadinho","2.6972","IRU","AT","Aguardando","analise",,
,"MG-3109006-B23E9D23F4C74100B3F591E6DD62B77E","5.0224","MG","Brumadinho","0.2511","IRU","AT","Aguardando","analise",,
,"MG-3109006-D77EBB4190F94EBC8515A9E9082ACFB4","1.5286","MG","Brumadinho","0.0764","IRU","AT","Aguardando","analise",,
,"MG-3109006-DC49C499D8BD4F489C4715740DBEF1B9","2.7601","MG","Brumadinho","0.1380","IRU","AT","Aguardando","analise",,
,"MG-3109006-F91B4A91F5F74801B92D6B5F9EFC4283","28.5453","MG","Brumadinho","1.4273","IRU","AT","Aguardando","analise",,
,"MG-3109006-24FDB978D69843288F6798FDEDECB2DA","6.3279","MG","Brumadinho","0.3164","IRU","AT","Aguardando","analise",,
,"MG-3109006-2F0E58A571B44496B22C76071D5F88E5","6.6639","MG","Brumadinho","0.3332","IRU","AT","Aguardando","analise",,
,"MG-3109006-32E5EAA29F41463D966044E84F7CA8AD","150.0805","MG","Brumadinho","7.5040","IRU","AT","Aguardando","análise",,
,"MG-3109006-C751F54AA57D4C3695D8BCF452CAAF61","8.7011","MG","Brumadinho","0.4351","IRU","AT","Aguardando","analise",,
,"MG-3109006-8AB2EDCAEC61451BBA835462679480C5","2.0455","MG","Brumadinho","0.1023","IRU","AT","Aguardando","analise",,
,"MG-3109006-9FA53BD65C8B4955A80634D5D9988A47","6.0864","MG","Brumadinho","0.3043","IRU","AT","Aguardando","analise",,
,"MG-3109006-E8D075DB5F4044EDBDBCBA8C741CA6F1","2.0486","MG","Brumadinho","0.1024","IRU","AT","Aguardando","analise",,
,"MG-3109006-1BD7B7CC9D4E447BAC95251AE9EC3251","2.0880","MG","Brumadinho","0.1044","IRU","AT","Aguardando","analise",,
,"MG-3109006-D8981CE059B6452A8B21A050779AD45E","10.8925","MG","Brumadinho","0.5446","IRU","AT","Aguardando","analise",,
,"MG-3109006-E14BD64E18174E6692041B429E06A8F7","3.3590","MG","Brumadinho","0.1680","IRU","AT","Aguardando","análise",,
,"MG-3109006-091E0A54AD7B43F5A2CE84C86BF94303","13.3998","MG","Brumadinho","0.6700","IRU","AT","Aguardando","analise",,
,"MG-3109006-D5B7B13207964EBCA6C2C24C8D9DED21","3.0419","MG","Brumadinho","0.1521","IRU","AT","Aguardando","analise",,
,"MG-3109006-C50E2A80E5484385AFA7D0C0C0DB8E59","3.1495","MG","Brumadinho","0.1575","IRU","AT","Aguardando","analise",,
,"MG-3109006-06DF1F9A1C214B24B9BAE9B131B30A0A","2.1465","MG","Brumadinho","0.1073","IRU","AT","Aguardando","analise",,
,"MG-3109006-00F050505F534E2182EF4E2EB20E4857","23.7649","MG","Brumadinho","1.1882","IRU","AT","Aguardando","analise",,
,"MG-3109006-CDD88421D09840A8AC264DADB2ABA110","2.2537","MG","Brumadinho","0.1127","IRU","AT","Aguardando","analise",,
,"MG-3109006-6E44976B3B46468E84F51088F02FB51B","1.2048","MG","Brumadinho","0.0602","IRU","AT","Aguardando","analise",,
,"MG-3109006-3EC7CFDF717540709D3D38C97C07F113","7.3377","MG","Brumadinho","0.3669","IRU","AT","Aguardando","analise",,
,"MG-3109006-5692558ED3F8427FB17DF13CC960E9C6","1.2526","MG","Brumadinho","0.0626","IRU","AT","Aguardando","análise",,
,"MG-3109006-12B5D391D33443238C50E945EED83A65","53.0725","MG","Brumadinho","2.6536","IRU","AT","Aguardando","analise",,
,"MG-3109006-212C776FD73C4048AAA409E3C3F9F4F0","6.3424","MG","Brumadinho","0.3171","IRU","AT","Aguardando","analise",,
,"MG-3109006-FB6C1FAEE55F4447967277D9C63ADB86","45.2900","MG","Brumadinho","2.2600","IRU","AT","Aguardando","análise",,
,"MG-3109006-69D579697BEB4F1093C733F51A5AF718","16.2641","MG","Brumadinho","0.8132","IRU","AT","Aguardando","analise",,
,"MG-3109006-525E1266CB7E4CC48330F2524DD101C0","10.2398","MG","Brumadinho","0.5120","IRU","AT","Aguardando","analise",,
,"MG-3109006-0358F7FFC8F1436EB71AE6235CE79CF7","19.9740","MG","Brumadinho","0.9987","IRU","AT","Aguardando","analise",,
,"MG-3109006-40AFC72D23124D90800A1B1CF3AEB9E1","1.7287","MG","Brumadinho","0.0864","IRU","AT","Aguardando","análise",,
,"MG-3109006-FB3D060192CE41CCA23F6BCE140F2B22","54.1644","MG","Brumadinho","2.7082","IRU","AT","Aguardando","analise",,
,"MG-3109006-CE8FCFDD612E4433BF23E903B2465774","13.4840","MG","Brumadinho","0.6742","IRU","AT","Aguardando","analise",,
,"MG-3109006-2919349079E94FC6B9F106BE637FF74E","1.7274","MG","Brumadinho","0.0864","IRU","AT","Aguardando","análise",,
,"MG-3109006-1A4ED25FE6EF4A98AAF09058601A9A28","91.2960","MG","Brumadinho","4.5648","IRU","AT","Aguardando","analise",,
,"MG-3109006-F68D9C95F16941C28C4F7FEFDF74A720","22.8369","MG","Brumadinho","1.1418","IRU","AT","Aguardando","análise",,
,"MG-3109006-CF3AC57DF80243BD9D1E1C08B688DCC9","23.4905","MG","Brumadinho","1.1745","IRU","AT","Aguardando","analise",,
,"MG-3109006-5C85DB4370F84518B9317592868BEE7B","212.6698","MG","Brumadinho","10.6335","IRU","AT","Aguardando","analise",,
,"MG-3109006-82EC444480C9414ABEE7FFCA657C965E","2.0000","MG","Brumadinho","0.1000","IRU","AT","Aguardando","analise",,
,"MG-3109006-BA6908DDF8F44E95BC07847412B73828","154.1860","MG","Brumadinho","7.7100","IRU","AT","Aguardando","análise",,
,"MG-3109006-A5C2408EAA864DF78CBE79DB2D9479A0","25.6375","MG","Brumadinho","1.2819","IRU","AT","Aguardando","analise",,
,"MG-3109006-56E29094BCDB45DBBEC7EC6F797C6C37","25.8533","MG","Brumadinho","1.2927","IRU","AT","Aguardando","analise",,
,"MG-3109006-1480C6ED37F54581B1523B9C968CE66D","22.1123","MG","Brumadinho","1.1056","IRU","AT","Aguardando","análise",,
,"MG-3109006-92EEF381A45B4F11AFFAD75F595BBF9F","69.1474","MG","Brumadinho","3.4574","IRU","AT","Aguardando","analise",,
,"MG-3109006-FB1492C000C34EF79E3FB4906186DFC4","0.9619","MG","Brumadinho","0.0481","IRU","AT","Aguardando","análise",,
,"MG-3109006-D07AE44E4C904F11B91B0634A403B5C9","13.0793","MG","Brumadinho","0.6500","IRU","AT","Aguardando","análise",,
,"MG-3109006-018FAA5099EB4743965C570F8C2B1063","3.1715","MG","Brumadinho","0.1586","IRU","AT","Aguardando","analise",,
,"MG-3109006-0922A2C4E3494FF49C01F8625604D78B","2.0000","MG","Brumadinho","0.1000","IRU","AT","Aguardando","analise",,
,"MG-3109006-501AFB833CAB4919A26245B5C22D7A58","2.3273","MG","Brumadinho","0.1164","IRU","AT","Aguardando","analise",,
,"MG-3109006-1A6FA3B954FB4FE899F25A4F089C4451","29.6249","MG","Brumadinho","1.4812","IRU","AT","Aguardando","analise",,
,"MG-3109006-EF81376534D74859B6C989F29EEDE81B","0.6796","MG","Brumadinho","0.0340","IRU","AT","Aguardando","analise",,
,"MG-3109006-2F6E788E93C2415D89A20738B2E68507","18.6961","MG","Brumadinho","0.9348","IRU","AT","Aguardando","analise",,
,"MG-3109006-DC7650FFCC6043A9B40EDE8CFA6D48F7","6.2712","MG","Brumadinho","0.3136","IRU","AT","Aguardando","analise",,
,"MG-3109006-BF2A473C9BAE42B3806B4E3F387A1315","13.5068","MG","Brumadinho","0.6753","IRU","AT","Aguardando","analise",,
,"MG-3109006-0DA78FCAC4FD44E8A99A1BE76B6330FA","26.5633","MG","Brumadinho","1.3282","IRU","AT","Aguardando","analise",,
,"MG-3109006-EC90A647C91043FBA62E4FC7537962AB","0.5408","MG","Brumadinho","0.0270","IRU","AT","Aguardando","analise",,
,"MG-3109006-D9AB9A21C1AD4C3590E05564D47C9519","62.1078","MG","Brumadinho","3.1054","IRU","AT","Aguardando","analise",,
,"MG-3109006-4D3BC128C1CA47D9A6A63AB9E6A89E23","146.6243","MG","Brumadinho","21.5900","IRU","AT","Aguardando","análise",,
,"MG-3109006-5CAEDCD9EA524BFCACECDC390840EF68","10.9619","MG","Brumadinho","0.5481","IRU","AT","Aguardando","analise",,
,"MG-3109006-11BAE9E6AD02410FBAAA927CA62AB6F8","22.2925","MG","Brumadinho","1.1146","IRU","AT","Aguardando","analise",,
,"MG-3109006-6E488409C59D443DA051C65C0C575D36","1.6280","MG","Brumadinho","0.0814","IRU","AT","Aguardando","analise",,
,"MG-3109006-EDEA6AA493E24239AE7D5E913A5B41C9","2.7088","MG","Brumadinho","0.1354","IRU","AT","Aguardando","analise",,
,"MG-3109006-8AA7C0A99C5543FA9E3C1D51BF84DAAB","3.0875","MG","Brumadinho","0.1544","IRU","AT","Aguardando","analise",,
,"MG-3109006-CE83203D27EE44E8BAA09B461C5794B6","17.9753","MG","Brumadinho","0.8988","IRU","AT","Aguardando","analise",,
,"MG-3109006-9229D63A6D1A486589C48A0AE72BA292","30.1038","MG","Brumadinho","1.5052","IRU","AT","Aguardando","analise",,
,"MG-3109006-ECB0A916882646CA96FEE26CBDAA3964","8.5903","MG","Brumadinho","0.4295","IRU","AT","Aguardando","analise",,
,"MG-3109006-2DEEDD8B5E1F403EAC3CD69AD475E3A9","0.1282","MG","Brumadinho","0.0064","IRU","AT","Aguardando","analise",,
,"MG-3109006-87C3A1177A6644F8A263E6FB062EE73B","1.2933","MG","Brumadinho","0.0600","IRU","AT","Aguardando","análise",,
,"MG-3109006-5A1E94B840F74D1EA288EE48C3634F2B","9.0750","MG","Brumadinho","0.4538","IRU","AT","Aguardando","analise",,
,"MG-3109006-925152492C214543B8DE506630C035E6","2.4077","MG","Brumadinho","0.1204","IRU","AT","Aguardando","analise",,
,"MG-3109006-487CF84277E74654BDD5B6C518CBC5AB","212.4351","MG","Brumadinho","10.6218","IRU","AT","Aguardando","analise",,
,"MG-3109006-95A6F10ABEE44BCC834BA2CF340260F7","37.9797","MG","Brumadinho","1.8990","IRU","AT","Aguardando","analise",,
,"MG-3109006-8E45E898F49B420B97A7259778E6604A","7.2109","MG","Brumadinho","0.3605","IRU","AT","Aguardando","analise",,
,"MG-3109006-DBE0E5B4FDB145049BDCF0F004D8A03E","2.4088","MG","Brumadinho","0.1204","IRU","AT","Aguardando","analise",,
,"MG-3109006-AF70B0588740453D8FDB61B6B935DC3A","5.3363","MG","Brumadinho","0.2668","IRU","AT","Aguardando","analise",,
,"MG-3109006-64DE3E73748B408BA942867E4EC912AC","74.6000","MG","Brumadinho","3.7300","IRU","AT","Aguardando","analise",,
,"MG-3109006-FBA85CE85DE848F39560B12939FF1E4B","3.6395","MG","Brumadinho","0.1820","IRU","AT","Aguardando","analise",,
,"MG-3109006-371746989FC443CDA0D4D8CAD6848577","10.5077","MG","Brumadinho","0.5254","IRU","AT","Aguardando","analise",,
,"MG-3109006-4E0A7702AB4F40EC976CFECFDB84D104","6.2878","MG","Brumadinho","0.3100","IRU","AT","Aguardando","análise",,
,"MG-3109006-15E6751CC3414C648A1E4BAE353BF839","2.6056","MG","Brumadinho","0.1303","IRU","AT","Aguardando","analise",,
,"MG-3109006-51B6F3FF6830440182AEB23B7F62803C","5.4368","MG","Brumadinho","0.2700","IRU","AT","Aguardando","análise",,
,"MG-3109006-8667DDC855CF4DF98211ECC58D0B4127","11.8023","MG","Brumadinho","0.5900","IRU","AT","Aguardando","análise",,
,"MG-3109006-2F5394AA0A18484C84685A19B50A3C7A","14.0027","MG","Brumadinho","0.7000","IRU","AT","Aguardando","análise",,
,"MG-3109006-D3C439029C7545768E9AC7A8B00ECDAD","1.6961","MG","Brumadinho","0.0848","IRU","AT","Aguardando","analise",,
,"MG-3109006-74C9A3DF37F74C78B365DBEE968719C9","4.4477","MG","Brumadinho","0.2224","IRU","AT","Aguardando","analise",,
,"MG-3109006-15D5ACC0BB994136987B1006515D5630","2.7803","MG","Brumadinho","0.1390","IRU","AT","Aguardando","analise",,
,"MG-3109006-A9D6CFCC3FF545329C301DEC30D952D2","3.6031","MG","Brumadinho","0.1802","IRU","AT","Aguardando","analise",,
,"MG-3109006-08B0EE4F836F47008E5A00DA60D9330E","51.2300","MG","Brumadinho","2.5615","IRU","AT","Aguardando","analise",,
,"MG-3109006-E7773A0C9CF84AE2B38D86255D25E953","17.4612","MG","Brumadinho","0.8731","IRU","AT","Aguardando","análise",,
,"MG-3109006-44EE012D780243F4BFF00CF157A43260","5.2795","MG","Brumadinho","0.2640","IRU","AT","Aguardando","analise",,
,"MG-3109006-E362684AFEDD4D2CAED1C75BA86F756F","50.0020","MG","Brumadinho","2.5001","IRU","AT","Aguardando","analise",,
,"MG-3109006-342556393F424BF2A6808CB4720AF3F5","6.7904","MG","Brumadinho","0.3395","IRU","AT","Aguardando","analise",,
,"MG-3109006-2708E27A94D8411CA1160ABC01C4FA81","0.1916","MG","Brumadinho","0.0096","IRU","AT","Aguardando","analise",,
,"MG-3109006-716005304E5740DDA8EAA76CAEB2803D","50.2822","MG","Brumadinho","2.5141","IRU","AT","Aguardando","analise",,
,"MG-3109006-C056B6CD4D4D4EB0A3AF05E4042DD7E6","2.8333","MG","Brumadinho","0.1417","IRU","AT","Aguardando","análise",,
,"MG-3109006-8015B8ECEFFA4172AE0A633AB178E6A3","3.6202","MG","Brumadinho","0.1810","IRU","AT","Aguardando","analise",,
,"MG-3109006-90E2A30D8F474589BD537B4FD15C96BD","25.5448","MG","Brumadinho","1.2772","IRU","AT","Aguardando","analise",,
,"MG-3109006-E69D1F728DB34882BFFEDAB6DE5AF4C2","2.7346","MG","Brumadinho","0.1367","IRU","AT","Aguardando","analise",,
,"MG-3109006-D2D098F94F504F26B7399E5AAFBECBD5","22.7985","MG","Brumadinho","1.1400","IRU","AT","Aguardando","análise",,
,"MG-3109006-BD1690D3CA5349F2BA63C45BB907D0DC","2.9808","MG","Brumadinho","0.1490","IRU","AT","Aguardando","análise",,
,"MG-3109006-62A8FA02B4A14092BB804E6AD7813E61","81.2281","MG","Brumadinho","4.0614","IRU","AT","Aguardando","analise",,
,"MG-3109006-84A0611D2EC34DEC89B8ED5EC88055A7","152.3354","MG","Brumadinho","7.6168","IRU","AT","Aguardando","analise",,
,"MG-3109006-68BF9CB7CD1A404CBED42948E2A62F24","22.2126","MG","Brumadinho","1.1106","IRU","AT","Aguardando","análise",,
,"MG-3109006-153842DAC41043D89FF335DEFB4D1AF2","2.0569","MG","Brumadinho","0.1028","IRU","AT","Aguardando","analise",,
,"MG-3109006-636430BAD7094307B84DD0B1B33AF25B","16.5284","MG","Brumadinho","0.8264","IRU","AT","Aguardando","analise",,
,"MG-3109006-844FF31FDA3F4DE2B86EBA25FEE00603","39.8458","MG","Brumadinho","1.9923","IRU","AT","Aguardando","analise",,
,"MG-3109006-8219C998C1B04DE398B024CC4C33FB73","125.9004","MG","Brumadinho","6.2900","IRU","AT","Aguardando","análise",,
,"MG-3109006-D9A306C237E345B18EC9E4683B69364F","0.7017","MG","Brumadinho","0.0351","IRU","AT","Aguardando","analise",,
,"MG-3109006-4E1EEFFBE6284D829B488C110020C38B","35.3553","MG","Brumadinho","1.7678","IRU","AT","Aguardando","analise",,
,"MG-3109006-D2AF8F67625945F696F23B3C0341638B","3.5160","MG","Brumadinho","0.1800","IRU","AT","Aguardando","análise",,
,"MG-3109006-9A18FA9D8CDC48FE92579A3A4E3E33B9","9.3471","MG","Brumadinho","0.4674","IRU","AT","Aguardando","analise",,
,"MG-3109006-961CC25BBBBB4AB4AC335A7DEA345A71","3.9086","MG","Brumadinho","0.1954","IRU","AT","Aguardando","analise",,
,"MG-3109006-8D07492827714ECB8D32713EF7062F05","43.8800","MG","Brumadinho","2.1940","IRU","AT","Aguardando","analise",,
,"MG-3109006-83A5A12EC2AD47358083FAEB17A1258F","102.0228","MG","Brumadinho","5.3175","IRU","AT","Aguardando","analise",,
,"MG-3109006-4FB412D6242348FC9ED41CDC739F28F9","9.4005","MG","Brumadinho","0.4700","IRU","AT","Aguardando","analise",,
,"MG-3109006-85E73BFC9BDC4792AD3AE43C53C11641","29.1826","MG","Brumadinho","1.4591","IRU","AT","Aguardando","analise",,
,"MG-3109006-75C25D0D9B044DD2914711227D838BA6","40.3200","MG","Brumadinho","2.0200","IRU","AT","Aguardando","análise",,
,"MG-3109006-75D9D23BEB8E41049835C8F583F3D542","53.8496","MG","Brumadinho","2.6925","IRU","AT","Aguardando","análise",,
,"MG-3109006-6CA2E2D87DFB4314AC3AF62D2AE35185","6.1053","MG","Brumadinho","0.3053","IRU","AT","Aguardando","analise",,
,"MG-3109006-F2DBB0D698F34DEE85D62D437634C74F","16.4400","MG","Brumadinho","0.8200","IRU","AT","Aguardando","análise",,
,"MG-3109006-A3E369523C7E46C4A1265E0647EA1499","1.9985","MG","Brumadinho","0.0999","IRU","AT","Aguardando","analise",,
,"MG-3109006-4BB9C8FF1E924E5FA12FA0FAF0DA8973","41.2105","MG","Brumadinho","2.0605","IRU","AT","Aguardando","analise",,
,"MG-3109006-F6BB6A5FF5CD482C9AACEFE751DFB57E","13.8743","MG","Brumadinho","0.6937","IRU","AT","Aguardando","análise",,
,"MG-3109006-317CEA9232A14A8185705F1CDECA2213","10.5793","MG","Brumadinho","0.5290","IRU","AT","Aguardando","analise",,
,"MG-3109006-4E62D15EEDFA49FCB352315F4C1603B5","1.9770","MG","Brumadinho","0.1000","IRU","AT","Aguardando","análise",,
