,"car","area","uf","mun","modulo_fiscal","tipo_imovel","situacao","condicao",,,
,"MG-3109006-D583189BA4634375B8A20FBDFEE7A5F8","94.1788","MG","Brumadinho","4.7089","IRU","AT","Aguardando","analise",,
,"MG-3109006-79DFD71D93FD4B75B55567AB79D80151","46.2019","MG","Brumadinho","2.3101","IRU","AT","Aguardando","analise",,
,"MG-3109006-7834245157C14DE9A18DECF510AC380F","49.2398","MG","Brumadinho","2.4620","IRU","AT","Aguardando","analise",,
,"MG-3109006-B7E793BADD1448D0A413E5ED03504FF2","10.6101","MG","Brumadinho","0.5305","IRU","AT","Aguardando","analise",,
,"MG-3109006-BBA8D78DD14D4305BF2E4D45A835F225","8.7825","MG","Brumadinho","0.4400","IRU","AT","Aguardando","análise",,
,"MG-3109006-DE8BF2E3109443A6982EBCEE0577BCD2","145.9237","MG","Brumadinho","7.2962","IRU","AT","Aguardando","analise",,
,"MG-3109006-EFB20E1093264FF7B111223ABE493111","2.3485","MG","Brumadinho","0.1174","IRU","AT","Aguardando","analise",,
,"MG-3109006-02B4A747901B411E8BD9296E89FA5F8B","2.5701","MG","Brumadinho","0.1285","IRU","AT","Aguardando","analise",,
,"MG-3109006-42BF59BAAFD24D43A3C22DB21FE760A2","9.5287","MG","Brumadinho","0.4764","IRU","AT","Aguardando","analise",,
,"MG-3109006-53B0F700A3334FBE9DA2635C913F1AC7","0.5635","MG","Brumadinho","0.0282","IRU","AT","Aguardando","analise",,
,"MG-3109006-CD0EDC690DD6473A93B3E766F5FE3367","3.3010","MG","Brumadinho","0.1651","IRU","AT","Aguardando","analise",,
,"MG-3109006-F1DB4EE096DD4AC48AD0CF4BA4242813","23.0095","MG","Brumadinho","1.1505","IRU","AT","Aguardando","analise",,
,"MG-3109006-12BB7A547138484BBC1215FF53012DC5","31.5672","MG","Brumadinho","1.5784","IRU","AT","Aguardando","analise",,
,"MG-3109006-9F3DF4A87CB64E86872577A4008AA23C","89.4448","MG","Brumadinho","4.4722","IRU","AT","Aguardando","analise",,
,"MG-3109006-00B27B392CEB437081B252C78F75FCFF","51.5069","MG","Brumadinho","2.5753","IRU","AT","Aguardando","analise",,
,"MG-3109006-F04648379E59409F94C1E6BCC80443B6","27.1272","MG","Brumadinho","1.3564","IRU","AT","Aguardando","analise",,
,"MG-3109006-7A4CF1AA0755423FBE68E563BB25FFC7","34.7189","MG","Brumadinho","1.7359","IRU","AT","Aguardando","analise",,
,"MG-3109006-84297E2E027642F7B6E700E871EB1702","9.6521","MG","Brumadinho","0.4826","IRU","AT","Aguardando","analise",,
,"MG-3109006-9A3C492F215C47CE961440057E7B8B01","121.9422","MG","Brumadinho","6.0900","IRU","AT","Aguardando","análise",,
,"MG-3109006-25DAE4C3A3F34FDAB3619D2708E82A4C","27.7837","MG","Brumadinho","1.3892","IRU","AT","Aguardando","analise",,
,"MG-3109006-FD9055316D0C4D5DA93ACCBA2CD340FA","2.7272","MG","Brumadinho","0.1364","IRU","AT","Aguardando","analise",,
,"MG-3109006-289EDEB70AD84C3DAC4415202770B6D4","165.3791","MG","Brumadinho","0.3759","AST","AT","Aguardando","análise",,
,"MG-3109006-5090CE5748004B718773FDBB7D5838D3","8.6238","MG","Brumadinho","0.4312","IRU","AT","Aguardando","analise",,
,"MG-3109006-9D90131E3BAD443496498771783C0969","4.4028","MG","Brumadinho","0.2201","IRU","AT","Aguardando","analise",,
,"MG-3109006-AA02822F599344B79848B6845C4CD388","1.6869","MG","Brumadinho","0.0843","IRU","AT","Aguardando","analise",,
,"MG-3109006-A1E2112AB0CC4B59809670BF54A32D8D","6.2130","MG","Brumadinho","0.3100","IRU","AT","Aguardando","análise",,
,"MG-3109006-37154991FF2A44D985A7C56B41D27E2A","0.6599","MG","Brumadinho","0.0330","IRU","AT","Aguardando","análise",,
,"MG-3109006-72EE6B8C2FCF43058DEA0DD53472995D","3.3090","MG","Brumadinho","0.1655","IRU","AT","Aguardando","análise",,
,"MG-3109006-12650DC162944EC5A99D17529D9C6DD8","34.9431","MG","Brumadinho","1.7472","IRU","AT","Aguardando","análise",,
,"MG-3109006-B9C4162A5947451692EA43EDABB02A38","66.7918","MG","Brumadinho","3.3396","IRU","AT","Aguardando","analise",,
,"MG-3109006-EBCE4DB257B94AA0B80F0C8D0A675F56","40.7589","MG","Brumadinho","2.0379","IRU","AT","Aguardando","analise",,
,"MG-3109006-A7C30864231040D9B3AE46ADDB366F45","1.8396","MG","Brumadinho","0.0920","IRU","AT","Aguardando","analise",,
,"MG-3109006-140DDA3A8EF74381864F8403EAE0086D","107.7877","MG","Brumadinho","5.3894","IRU","AT","Aguardando","analise",,
,"MG-3109006-DFF7C89AA2B04EECB713DD970A91BC35","21.1560","MG","Brumadinho","1.0578","IRU","AT","Aguardando","analise",,
,"MG-3109006-4EF69DE407DF4B3088869B3B74F581C6","0.5025","MG","Brumadinho","0.0251","IRU","AT","Aguardando","analise",,
,"MG-3109006-C3A9E2C111CF49DDB06077DC2082FEA6","6.8906","MG","Brumadinho","0.3445","IRU","AT","Aguardando","analise",,
,"MG-3109006-B658165997344A23BDD22FA9177AAE33","105.2431","MG","Brumadinho","5.2622","IRU","AT","Aguardando","analise",,
,"MG-3109006-236E52E4FB5D49BB83AF177D3E8AE6D3","0.8899","MG","Brumadinho","0.0445","IRU","AT","Aguardando","analise",,
,"MG-3109006-D2A5BB722D9B4C0CA4CB6782E1ABD52F","11.2175","MG","Brumadinho","0.5609","IRU","AT","Aguardando","analise",,
,"MG-3109006-82CB9116E332447FBD2BAC4D68CDE94C","39.2222","MG","Brumadinho","1.9611","IRU","AT","Aguardando","analise",,
,"MG-3109006-36A0A559079545ABA55E69853FA5E159","28.0267","MG","Brumadinho","1.4013","IRU","AT","Aguardando","analise",,
,"MG-3109006-9D67BBBEDD8A4CABBE5D3DB71066070F","2.8243","MG","Brumadinho","0.1412","IRU","AT","Aguardando","analise",,
,"MG-3109006-C9E1E17ACFCA455BA2DFAE2F781FBFCA","0.2234","MG","Brumadinho","0.0112","IRU","AT","Aguardando","analise",,
,"MG-3109006-97536EBAE16B47E1A0406FEF06865F1E","0.5510","MG","Brumadinho","0.0275","IRU","AT","Aguardando","analise",,
,"MG-3109006-2F9CC62D7A0A4DC4A9B10D6A8B85B452","903.0109","MG","Brumadinho","60.5137","IRU","AT","Aguardando","analise",,
,"MG-3109006-1E90F9E1ADE14765893EA5E27C45E4D3","6.8563","MG","Brumadinho","0.3428","IRU","AT","Aguardando","analise",,
,"MG-3109006-1DD60AB147B6435682B64DCD3EBA3827","142.8365","MG","Brumadinho","7.1418","IRU","AT","Aguardando","análise",,
,"MG-3109006-43D6FFD81B014124895A276153401872","3.7164","MG","Brumadinho","0.1858","IRU","AT","Aguardando","analise",,
,"MG-3109006-1405D7894E9341938019D377B8B96B8A","7.8052","MG","Brumadinho","0.3903","IRU","AT","Aguardando","analise",,
,"MG-3109006-79D4D910208F4792885059E547965669","0.1148","MG","Brumadinho","0.0057","IRU","AT","Aguardando","analise",,
,"MG-3109006-CD73B2B72AF74B9CA2484C15123DB3AC","2.2100","MG","Brumadinho","0.1100","IRU","AT","Aguardando","análise",,
,"MG-3109006-CA79B65AEA4843C8ADEB87A4A9A69821","258.5610","MG","Brumadinho","12.9200","IRU","AT","Aguardando","análise",,
,"MG-3109006-84A93E19833345CDBBB95D2AF730EE93","4.0169","MG","Brumadinho","0.2008","IRU","AT","Aguardando","analise",,
,"MG-3109006-DE025BABBDF540269EDAC9F02362BCE5","3.4132","MG","Brumadinho","0.1707","IRU","AT","Aguardando","analise",,
,"MG-3109006-3A10210399844B56801C0AEFEA8C941D","41.8383","MG","Brumadinho","2.0919","IRU","AT","Aguardando","analise",,
,"MG-3109006-F0CFF440FE9F4775813BB55627745B4C","134.1600","MG","Brumadinho","6.7080","IRU","AT","Aguardando","analise",,
,"MG-3109006-4679F95D6E8C4A5DA6813F17CE021634","46.2140","MG","Brumadinho","2.3107","IRU","AT","Aguardando","analise",,
,"MG-3109006-FD23DD50DF3A46E482133B0568B8EBD9","5.8622","MG","Brumadinho","0.2931","IRU","AT","Aguardando","analise",,
,"MG-3109006-6CA5943CB91245EFA5BF4C5CF80DA096","32.3611","MG","Brumadinho","1.6181","IRU","AT","Aguardando","analise",,
,"MG-3109006-75E42EC9E39D4BFDAAFB2367A4082E2D","3.1752","MG","Brumadinho","0.1588","IRU","AT","Aguardando","analise",,
,"MG-3109006-3A4D6E4AD2E34EEF8EB075725D767C18","4.6581","MG","Brumadinho","0.2329","IRU","AT","Aguardando","analise",,
,"MG-3109006-6660CD5F62584EE5A5AD907D8E055864","54.9587","MG","Brumadinho","2.7479","IRU","AT","Aguardando","analise",,
,"MG-3109006-CAD19F02245E4FBBA898A70F43009E7A","78.6201","MG","Brumadinho","3.9310","IRU","AT","Aguardando","analise",,
,"MG-3109006-93936373274046BAA1716DA59DF5B148","3.0117","MG","Brumadinho","0.1506","IRU","AT","Aguardando","analise",,
,"MG-3109006-0ED175CB528F47F685DC229ADF57B720","10.8717","MG","Brumadinho","0.5436","IRU","AT","Aguardando","analise",,
,"MG-3109006-120E262423184DF0BB09E6A7F56DE971","7.1527","MG","Brumadinho","0.3576","IRU","AT","Aguardando","analise",,
,"MG-3109006-52E750CB351C4CD591F1B00F3878232A","58.8108","MG","Brumadinho","2.9405","IRU","AT","Aguardando","analise",,
,"MG-3109006-E31EB3FFD32C4E0597AE4E5488974CCA","2.1309","MG","Brumadinho","0.1065","IRU","AT","Aguardando","analise",,
,"MG-3109006-CFC746A9C942491581BBFB9DFAA63FBC","3.2013","MG","Brumadinho","0.1601","IRU","AT","Aguardando","analise",,
,"MG-3109006-8679AFBDBB234130B771CE78711640F4","27.2491","MG","Brumadinho","1.3625","IRU","AT","Aguardando","analise",,
,"MG-3109006-5AA5B245E8844B42AC8B785D32D41BDA","17.1045","MG","Brumadinho","0.8552","IRU","AT","Aguardando","analise",,
,"MG-3109006-E69C77586C174883BCB90FB1EB05E756","27.4948","MG","Brumadinho","1.3747","IRU","AT","Aguardando","analise",,
,"MG-3109006-D005EF2A334945E8A5481A863F993FE9","16.4931","MG","Brumadinho","0.8247","IRU","AT","Aguardando","analise",,
,"MG-3109006-C44C0B0E13B3438A97235E649A16D31F","60.0169","MG","Brumadinho","3.0008","IRU","AT","Aguardando","analise",,
,"MG-3109006-E1E24B7CF87B454E9BB063527A3C4A0C","29.6821","MG","Brumadinho","1.4841","IRU","AT","Aguardando","analise",,
,"MG-3109006-6B2734DEC2EF401D874453C9D7E4D2CA","21.6694","MG","Brumadinho","1.0835","IRU","AT","Aguardando","analise",,
,"MG-3109006-0A31F4CA4E8B40AAA2AF2E9C6751C93F","3.7692","MG","Brumadinho","0.1885","IRU","AT","Aguardando","análise",,
,"MG-3109006-B08CBC09044A4C1D8DC5A428BD99D1B3","2.2364","MG","Brumadinho","0.1118","IRU","AT","Aguardando","analise",,
,"MG-3109006-ED57EF25439B49B7B6E5F53AC8C52379","45.8838","MG","Brumadinho","2.2942","IRU","AT","Aguardando","analise",,
,"MG-3109006-C9BA72B54DAE41B0B272598A20C84AE5","3.4909","MG","Brumadinho","0.1745","IRU","AT","Aguardando","analise",,
,"MG-3109006-32638F1DA1C84E96AE406A47C5245F07","15.0602","MG","Brumadinho","0.7530","IRU","AT","Aguardando","analise",,
,"MG-3109006-65DEB1B4E1864CEAA86321600EF7B61C","7.9613","MG","Brumadinho","0.3981","IRU","AT","Aguardando","analise",,
,"MG-3109006-92DC427F7D2743E18E1B03BE0D7586BB","12.4436","MG","Brumadinho","0.6222","IRU","AT","Aguardando","analise",,
